Date,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI
2014-10-01,124.66999816894533,383.614990234375,1.262833595275879,1214.5999755859375,45.900001525878906,16804.7109375
2014-10-02,124.16999816894533,375.0719909667969,1.2624191045761108,1214.199951171875,45.7599983215332,16801.05078125
2014-10-03,126.36000061035156,359.5119934082031,1.2670577764511108,1192.199951171875,46.09000015258789,17009.689453125
2014-10-04,,328.8659973144531,,,,
2014-10-05,,320.510009765625,,,,
2014-10-06,126.26000213623048,330.0790100097656,1.2513607740402222,1206.699951171875,46.09000015258789,16991.91015625
2014-10-07,123.31999969482422,336.18701171875,1.264606237411499,1211.699951171875,45.52999877929688,16719.390625
2014-10-08,124.9800033569336,352.94000244140625,1.266800880432129,1205.300048828125,46.77999877929688,16994.220703125
2014-10-09,122.76000213623048,365.0260009765625,1.2743074893951416,1224.5999755859375,45.84999847412109,16659.25
2014-10-10,121.5,361.56201171875,1.2689067125320437,1221.0,44.02999877929688,16544.099609375
2014-10-11,,362.2990112304688,,,,
2014-10-12,,378.5490112304688,,,,
2014-10-13,120.4499969482422,390.41400146484375,1.263982892036438,1229.300048828125,43.650001525878906,16321.0703125
2014-10-14,122.29000091552734,400.8699951171875,1.272394061088562,1233.5999755859375,43.72999954223633,16315.1904296875
2014-10-15,120.19000244140624,394.7730102539063,1.2639029026031494,1244.0999755859375,43.220001220703125,16141.740234375
2014-10-16,120.29000091552734,382.5559997558594,1.2821663618087769,1240.5,42.7400016784668,16117.240234375
2014-10-17,123.23999786376952,383.7579956054688,1.280442476272583,1238.300048828125,43.630001068115234,16380.41015625
2014-10-18,,391.4419860839844,,,,
2014-10-19,,389.5459899902344,,,,
2014-10-20,124.30999755859376,382.8450012207031,1.274957299232483,1244.0,44.08000183105469,16399.669921875
2014-10-21,127.12000274658205,386.4750061035156,1.2795250415802002,1251.0,44.880001068115234,16614.810546875
2014-10-22,121.4499969482422,383.1579895019531,1.2714719772338867,1244.800048828125,44.380001068115234,16461.3203125
2014-10-23,122.02999877929688,358.4169921875,1.2641425132751465,1228.5,45.02000045776367,16677.900390625
2014-10-24,122.23999786376952,358.3450012207031,1.2654062509536743,1231.199951171875,46.130001068115234,16805.41015625
2014-10-25,,347.27099609375,,,,
2014-10-26,,354.7040100097656,,,,
2014-10-27,122.12000274658205,352.989013671875,1.2676681280136108,1229.0999755859375,45.90999984741211,16817.939453125
2014-10-28,123.61000061035156,357.6180114746094,1.270147681236267,1229.199951171875,46.4900016784668,17005.75
2014-10-29,123.08000183105467,335.59100341796875,1.273836612701416,1224.300048828125,46.619998931884766,16974.310546875
2014-10-30,123.81999969482422,345.30499267578125,1.2632802724838257,1198.0999755859375,46.04999923706055,17195.419921875
2014-10-31,124.91000366210938,338.3210144042969,1.2613362073898315,1171.0999755859375,46.95000076293945,17390.51953125
2014-11-01,,325.7489929199219,,,,
2014-11-02,,325.8919982910156,,,,
2014-11-03,126.02999877929688,327.5539855957031,1.250312566757202,1169.4000244140625,47.43999862670898,17366.240234375
2014-11-04,125.83999633789062,330.49200439453125,1.2495938539505005,1167.4000244140625,47.56999969482422,17383.83984375
2014-11-05,124.22000122070312,339.4859924316406,1.255256414413452,1145.4000244140625,47.86000061035156,17484.529296875
2014-11-06,124.58000183105467,349.2900085449219,1.2480031251907349,1142.300048828125,48.70000076293945,17554.470703125
2014-11-07,124.4499969482422,342.4150085449219,1.238006830215454,1169.5999755859375,48.68000030517578,17573.9296875
2014-11-08,,345.4880065917969,,,,
2014-11-09,,363.2640075683594,,,,
