,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI,BA,BTC-USD,EURUSD=X,GC=F,MSFT,^DJI
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-01,108.40667724609375,383.614990234375,1.262833595275879,1214.5999755859375,39.6236686706543,16804.7109375,124.66999816894531,383.614990234375,1.262833595275879,1214.5999755859375,45.900001525878906,16804.7109375,127.37000274658203,391.3789978027344,1.2639987468719482,1217.800048828125,46.529998779296875,17041.16015625,124.30999755859375,380.7799987792969,1.2585740089416504,1205.5,45.849998474121094,16776.130859375,127.37000274658203,387.427001953125,1.2629133462905884,1207.699951171875,46.27000045776367,17040.4609375,5265200.0,26229400,0.0,178.0,38088400.0,104240000.0
2014-10-02,107.97188568115234,375.0719909667969,1.2624191045761108,1214.199951171875,39.5028076171875,16801.05078125,124.16999816894531,375.0719909667969,1.2624191045761108,1214.199951171875,45.7599983215332,16801.05078125,125.55000305175781,385.49700927734375,1.2690500020980835,1219.5,46.099998474121094,16857.25,123.83999633789062,372.9460144042969,1.2616099119186401,1210.300048828125,45.63999938964844,16674.0390625,124.4000015258789,383.9880065917969,1.2624987363815308,1215.300048828125,45.83000183105469,16808.26953125,3204500.0,21777700,0.0,176.0,25119400.0,75490000.0
2014-10-03,109.87621307373047,359.5119934082031,1.2670577764511108,1192.199951171875,39.787681579589844,17009.689453125,126.36000061035156,359.5119934082031,1.2670577764511108,1192.199951171875,46.09000015258789,17009.689453125,126.87000274658203,377.69500732421875,1.266993522644043,1212.4000244140625,46.29999923706055,17027.83984375,124.66000366210938,357.8590087890625,1.2501593828201294,1191.0,45.61000061035156,16802.19921875,124.66000366210938,375.1809997558594,1.266993522644043,1212.4000244140625,45.97999954223633,16802.19921875,3075900.0,30901200,0.0,499.0,32453200.0,87940000.0
2014-10-04,,328.8659973144531,,,,,,328.8659973144531,,,,,,364.48699951171875,,,,,,325.885986328125,,,,,,359.8919982910156,,,,,,47236500,,,,
2014-10-05,,320.510009765625,,,,,,320.510009765625,,,,,,341.8009948730469,,,,,,289.2959899902344,,,,,,328.9159851074219,,,,,,83308096,,,,
2014-10-06,109.78925323486328,330.0790100097656,1.2513607740402222,1206.699951171875,39.787681579589844,16991.91015625,126.26000213623047,330.0790100097656,1.2513607740402222,1206.699951171875,46.09000015258789,16991.91015625,127.19000244140625,345.1340026855469,1.2593204975128174,1208.0,46.29999923706055,17099.390625,125.37999725341797,302.55999755859375,1.2515017986297607,1182.800048828125,45.91999816894531,16930.380859375,127.08999633789062,320.3890075683594,1.2515017986297607,1187.699951171875,46.119998931884766,17010.33984375,2681000.0,79011800,0.0,415.0,20604000.0,655450000.0
2014-10-07,107.23278045654297,336.18701171875,1.264606237411499,1211.699951171875,39.30426025390625,16719.390625,123.31999969482422,336.18701171875,1.264606237411499,1211.699951171875,45.529998779296875,16719.390625,125.5199966430664,339.24700927734375,1.266430377960205,1211.699951171875,45.93000030517578,16988.25,123.29000091552734,320.48199462890625,1.258469581604004,1205.300048828125,45.41999816894531,16715.7890625,125.5199966430664,330.5840148925781,1.2643983364105225,1209.0999755859375,45.86000061035156,16988.25,3554900.0,49199900,0.0,272.0,25723700.0,79420000.0
2014-10-08,108.67623901367188,352.94000244140625,1.266800880432129,1205.300048828125,40.383331298828125,16994.220703125,124.9800033569336,352.94000244140625,1.266800880432129,1205.300048828125,46.779998779296875,16994.220703125,125.08999633789062,354.364013671875,1.2690999507904053,1217.9000244140625,46.88999938964844,17006.91015625,122.1500015258789,327.18798828125,1.2624493837356567,1205.300048828125,45.34000015258789,16663.259765625,123.47000122070312,336.1159973144531,1.266800880432129,1210.199951171875,45.47999954223633,16718.650390625,3610300.0,54736300,0.0,9.0,33031000.0,106930000.0
