Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,BA,BTC-USD,EURUSD=X,GC=F,^DJI,BA,BTC-USD,EURUSD=X,GC=F,^DJI,BA,BTC-USD,EURUSD=X,GC=F,^DJI,BA,BTC-USD,EURUSD=X,GC=F,^DJI,BA,BTC-USD,EURUSD=X,GC=F,^DJI,BA,BTC-USD,EURUSD=X,GC=F,^DJI
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-10-21 00:00:00+00:00,110.53704833984375,386.4750061035156,1.2795250415802002,1251.0,16614.810546875,127.12000274658203,386.4750061035156,1.2795250415802002,1251.0,16614.810546875,127.23999786376953,392.64599609375,1.2839277982711792,1251.0,16620.779296875,124.93000030517578,380.8340148925781,1.271709680557251,1251.0,16405.76953125,125.20999908447266,382.4209899902344,1.2795250415802002,1251.0,16406.029296875,5204500.0,14188900,0.0,48.0,105110000.0
2014-10-22 00:00:00+00:00,105.60672760009766,383.1579895019531,1.2714719772338867,1244.800048828125,16461.3203125,121.44999694824219,383.1579895019531,1.2714719772338867,1244.800048828125,16461.3203125,128.0,388.57598876953125,1.2739096879959106,1244.800048828125,16653.890625,121.33999633789062,382.2489929199219,1.2651101350784302,1244.800048828125,16459.849609375,127.98999786376953,386.1180114746094,1.2714234590530396,1244.800048828125,16615.259765625,13844400.0,11641300,0.0,2.0,92050000.0
2014-10-23 00:00:00+00:00,106.11106872558594,358.4169921875,1.2641425132751465,1228.5,16677.900390625,122.02999877929688,358.4169921875,1.2641425132751465,1228.5,16677.900390625,122.87999725341797,385.0480041503906,1.2675796747207642,1228.5,16767.51953125,121.05999755859375,356.4469909667969,1.261702299118042,1227.9000244140625,16468.0703125,121.2699966430664,382.9620056152344,1.2645422220230103,1228.0,16468.0703125,7799700.0,26456900,0.0,2.0,99420000.0
2014-10-24 00:00:00+00:00,106.29365539550781,358.3450012207031,1.2654062509536743,1231.199951171875,16805.41015625,122.23999786376953,358.3450012207031,1.2654062509536743,1231.199951171875,16805.41015625,122.83999633789062,364.3450012207031,1.2695107460021973,1232.699951171875,16811.7109375,121.26000213623047,353.30499267578125,1.2635835409164429,1229.4000244140625,16649.720703125,122.19999694824219,358.59100341796875,1.2650701999664307,1229.4000244140625,16677.0390625,4013300.0,15585700,0.0,71.0,90400000.0
2014-10-25 00:00:00+00:00,,347.27099609375,,,,,347.27099609375,,,,,359.8609924316406,,,,,342.87701416015625,,,,,358.6109924316406,,,,,18127500,,,
2014-10-26 00:00:00+00:00,,354.7040100097656,,,,,354.7040100097656,,,,,359.22100830078125,,,,,343.9309997558594,,,,,347.48699951171875,,,,,11272500,,,
2014-10-27 00:00:00+00:00,106.1893310546875,352.989013671875,1.2676681280136108,1229.0999755859375,16817.939453125,122.12000274658203,352.989013671875,1.2676681280136108,1229.0999755859375,16817.939453125,122.2300033569336,358.6319885253906,1.2721998691558838,1230.199951171875,16836.98046875,121.26000213623047,349.8089904785156,1.2667094469070435,1227.300048828125,16729.830078125,122.12999725341797,354.7770080566406,1.2676842212677002,1230.199951171875,16796.099609375,2940300.0,13033000,0.0,282.0,72580000.0
2014-10-28 00:00:00+00:00,107.4849624633789,357.6180114746094,1.270147681236267,1229.199951171875,17005.75,123.61000061035156,357.6180114746094,1.270147681236267,1229.199951171875,17005.75,123.79000091552734,359.9840087890625,1.2762998342514038,1231.0,17006.44921875,121.95999908447266,352.6789855957031,1.2686975002288818,1224.699951171875,16825.189453125,122.5,353.2149963378906,1.2702445983886719,1224.9000244140625,16825.189453125,4159000.0,7845880,0.0,46.0,83870000.0
