Date,BA,BTC-USD,EURUSD=X,GC=F,^DJI
2017-05-23 00:00:00+00:00,183.4900054931641,2320.419921875,1.123885989189148,1254.800048828125,20937.91015625
2017-05-24 00:00:00+00:00,185.25,2443.639892578125,1.11793053150177,1252.4000244140625,21012.419921875
2017-05-25 00:00:00+00:00,187.07000732421875,2304.97998046875,1.123090744018555,1255.800048828125,21082.94921875
2017-05-26 00:00:00+00:00,186.58999633789065,2202.419921875,1.121076226234436,1267.5999755859375,21080.279296875
2017-05-27 00:00:00+00:00,,2038.8699951171875,,,
2017-05-28 00:00:00+00:00,,2155.800048828125,,,
2017-05-29 00:00:00+00:00,,2255.610107421875,1.1176055669784546,,
2017-05-30 00:00:00+00:00,186.8800048828125,2175.469970703125,1.1129041910171509,1262.0999755859375,21029.470703125
2017-05-31 00:00:00+00:00,187.6300048828125,2286.409912109375,1.117168664932251,1272.0,21008.650390625
2017-06-01 00:00:00+00:00,187.32000732421875,2407.8798828125,1.124353528022766,1267.0,21144.1796875
2017-06-02 00:00:00+00:00,190.22999572753903,2488.550048828125,1.1215791702270508,1276.800048828125,21206.2890625
2017-06-03 00:00:00+00:00,,2515.35009765625,,,
2017-06-04 00:00:00+00:00,,2511.81005859375,,,
2017-06-05 00:00:00+00:00,188.9499969482422,2686.81005859375,1.128082513809204,1279.300048828125,21184.0390625
2017-06-06 00:00:00+00:00,186.75,2863.199951171875,1.1256824731826782,1294.4000244140625,21136.23046875
2017-06-07 00:00:00+00:00,188.1000061035156,2732.159912109375,1.1271415948867798,1290.0999755859375,21173.689453125
2017-06-08 00:00:00+00:00,189.92999267578125,2805.6201171875,1.125517725944519,1276.300048828125,21182.529296875
2017-06-09 00:00:00+00:00,190.02999877929688,2823.81005859375,1.118480563163757,1268.5,21271.970703125
2017-06-10 00:00:00+00:00,,2947.7099609375,,,
2017-06-11 00:00:00+00:00,,2958.110107421875,,,
2017-06-12 00:00:00+00:00,190.0,2659.6298828125,1.1201971769332886,1266.0999755859375,21235.669921875
2017-06-13 00:00:00+00:00,191.08999633789065,2717.02001953125,1.1196202039718628,1265.800048828125,21328.470703125
2017-06-14 00:00:00+00:00,192.3800048828125,2506.3701171875,1.1208877563476562,1272.800048828125,21374.560546875
2017-06-15 00:00:00+00:00,195.4499969482422,2464.580078125,1.1215791702270508,1252.199951171875,21359.900390625
2017-06-16 00:00:00+00:00,196.44000244140625,2518.56005859375,1.1146905422210691,1254.0,21384.279296875
2017-06-17 00:00:00+00:00,,2655.8798828125,,,
2017-06-18 00:00:00+00:00,,2548.2900390625,,,
2017-06-19 00:00:00+00:00,199.0800018310547,2589.60009765625,1.120824933052063,1244.199951171875,21528.990234375
2017-06-20 00:00:00+00:00,198.3300018310547,2721.7900390625,1.1144545078277588,1241.0,21467.140625
